#ID_REF = Sample Identifier
#VALUE = z-normalized value of the raw data
*ID_REF**	VALUE*
1	-0.168738101
2	-0.508819601
3	-0.171331903
4	-0.198181237
5	0.248466237
6	1.429830168
7	0.449679467
8	0.328363948
9	-0.167657987
10	-0.824615828
11	-0.461202027
12	0.281635988
13	2.47509766
14	0.522349122
15	-0.2387898
16	-0.226582979
17	-0.71282729
18	-0.363881929
19	-0.406734325
20	0.075906648
21	-1.207716883
22	-0.11267216
23	0.339230555
24	-0.21241324
25	-0.188081237
26	-0.908201001
27	0.128290974
28	2.105547177
29	0.426255619
30	-0.623023433
31	-0.501800414
32	-0.885190275
33	-0.530717972
34	0.210642399
35	1.555770271
36	0.45921016
37	0.23678085
38	-0.282018345
39	-1.145330918
40	-0.470171423
41	-0.187802707
42	0.257588896
43	-2.601657602
44	-0.406002743
45	-0.491723245
46	-0.171431593
47	-0.060606906
48	-0.735320327
49	-0.378508748
50	0.468648289
51	0.774296856
52	-0.320538831
53	-0.927390712
54	-1.229408898
55	-0.251733027
56	-0.784720048
57	-0.477553742
58	0.802887326
59	-0.985228205
60	-0.727951674
61	-0.890110005
62	-0.654282505
63	-0.19542011
64	-1.551236964
65	-0.593668002
66	-0.141936377
67	-0.020642329
68	0.04365344
69	0.293731934
70	0.863586026
71	-0.68054638
72	0.119666112
73	0.412077242
74	-0.406090772
75	-0.760891556
76	-1.423301647
77	-0.069482835
78	-0.388230218
79	-0.534562371
80	1.369193877
81	0.172204161
82	-0.093056512
83	-0.95978965
84	-1.131017875
85	-0.557236135
86	-0.988518224
87	-1.90076906
88	-0.726388223
89	-0.517581639
90	-0.234955385
91	0.154668338
92	-0.18176865
93	0.302779548
94	0.010889373
95	0.187882057
96	-0.943675603
97	-0.761930224
98	-1.156941617
99	-0.056115964
100	0.062932175
101	0.632453895
102	2.207651397
103	0.147468739
104	-0.668275935
105	-0.741282286
106	-1.148719271
107	-0.682439188
108	-1.026850615
109	-1.066224205
110	-0.15949882
111	-0.598834129
112	-0.181193129
113	0.492674511
114	-0.35113113
115	-0.206717574
116	1.467604833
117	0.680040607
118	-0.740617655
119	-0.384377632
120	-0.930636647
121	-0.016793257
122	-0.138805941
123	2.414627053
124	1.705859399
125	-0.538170583
126	0.312545192
127	-1.07177729
128	-1.210489267
129	-0.638017785
130	-0.285448305
131	-2.345951761
132	-0.568694149
133	0.607477749
134	0.466439419
135	-0.371798446
136	0.609003099
137	-0.182065451
138	-0.131455878
139	0.056020322
140	1.143800281
141	-0.915619802
142	-1.207993254
143	0.056043251
144	-0.455848305
145	-0.002118435
146	-0.011145257
147	-0.264826378
148	-0.661019165
149	-1.111240507
150	-1.511382291
151	-0.749137976
152	-1.418745909
153	-1.137518192
154	-0.670288506
155	-0.015718147
156	1.190850874
157	0.338822766
158	0.475435872
159	0.001584803
160	0.201238076
161	0.190955043
162	-0.181396499
163	1.580566085
164	-0.961097876
165	-0.670880203
166	-0.303114691
167	-0.238800329
168	0.78169928
169	-0.54025372
170	-0.569438057
171	-1.294856265
172	-1.236120565
173	-0.519380414
174	-1.024543812
175	-2.233440447
176	-0.962646626
177	0.745170043
178	0.047961839
179	-0.547409884
180	2.359498209
181	-0.903129912
182	-1.003896561
183	0.216161013
184	-0.820229014
185	-0.345693744
186	-1.017141639
187	-0.993591045
188	-0.777599771
189	-0.200948873
190	-0.475937891
191	0.174855924
192	-0.917191134
193	-1.089588925
194	-3.095472966
195	-0.545898644
196	-0.64315026
197	-0.945565968
198	-0.94566433
199	-0.037967282
200	0.535313179
201	0.400182046
202	1.625769072
203	2.29525046
204	-0.361909399
205	0.498673711
206	-0.478004066
207	-1.068900726
208	-1.228005787
209	-0.254604361
210	-0.437268748
211	-0.500833719
212	-0.747784594
213	-0.60280109
214	-1.530522827
215	-0.808353572
216	-0.642912671
